Iteration,Prompt,blues Confidence,Predicted Genre,Predicted Genre Confidence,Iterative Consistency Check
initial_prompt,"A traditional blues track featuring a slow, soulful tempo. The song should be built around a 12-bar blues structure with prominent electric guitar riffs and a harmonica. Background should include a steady bass line and a minimalist drum beat to enhance the melancholic yet resilient spirit of blues.",14.07%,pop,42.59%,
bass_0,"an electric guitar melody played over playback instrumental. The recording is noisy and in mono.
an electric guitar melody playing. The recording is noisy and in mono.",0.48%,classical,33.37%,0.0
bass_1,"instrumental. fast with an enthusiastic electric guitar riff. muffled, punchy, buoyant and vibrant. The audio quality is poor with ambient sounds of people clapping and cheering.
instrumental. medium with a ukelelele rhythm. droning, rhythmic, deep and has a tribal feel. The audio quality is poor.",0.98%,metal,96.66%,0.0
bass_2,"an instrumental. medium with a lively accordion harmony, tuba and other stringed instruments. playful, cheerful, happy, joyful and animated.
someone playing a melody on a synthesizer in the mid- to higher register. A tambourine is playing a short melody on top in a higher key. This song may be playing in a meditation session.",0.01%,classical,87.51%,0.0
bass_3,"a live performance of a folk song and it consists of harmonica solo melody over groovy double bass and arpeggiated acoustic guitar melody. passionate and emotional.,1
a cover of a blues song and it consists of harmonica solo melody played over groovy double bass and shimmering hi-hats. The recording is noisy and in mono.",5.24%,classical,94.15%,0.0
bass_4,"instrumental. slow with a harmonica playing the main melody. soft, mellow, euphonious, dreamy, sentimental and romantic. Classical Instrumental.
a harmonica solo melody playing. The recording is noisy, in mono and emotional and passionate.",0.65%,classical,98.21%,0.0
bass_5,"wedding march that belongs to Scottish folk music. It is an instrumental piece. The tune is being played by the French bagpipes at a medium-to-high pitch. The atmosphere is cheerful. This piece could be playing at a Scottish wedding. It could also be included in the soundtrack of a historical drama movie during wedding scenes.
gospel music piece. There is a female vocalist singing melodically in the lead. The tune is being played by a clarinet while the bass guitar plays in the background. The atmosphere is religious. This piece could be used in the soundtrack of a historical drama movie during the scenes where the characters are reminiscing about the good old days.",0.18%,classical,99.25%,0.0
bass_6,"The song is an instrumental. The song is medium tempo with a accordion playing in harmony and accompaniment style with both medley and harmony and no other instrumentation. beautiful and romantic. The audio quality is poor.
instrumental. slow with a violin harmony, piano accompaniment and rhythmic whistling sounds. soft, mellow, passionate, emotional and sentimental. a Western Classical.",12.13%,classical,87.07%,0.0
bass_7,"a sustained string melody, followed by woodwind and mellow piano melody. emotional and passionate - like something you would hear in old cartoons.
an arpeggiated harp melody. mellow, soft, emotional and sad.",0.01%,classical,99.96%,0.0
bass_8,"a mellow arpeggiated piano melody playing in the background, while the breathy flute melody is playing over it. sad, emotional and passionate.
a sustained string melody, followed by woodwind and mellow marimba melodies. emotional, passionate and sad - like something you would hear in movies.",0.02%,classical,99.52%,0.0
bass_9,"a mellow piano melody, followed by sustained cello melody. sad, emotional and passionate.
a mellow piano melody, followed by sustained strings melody. sad, emotional and melancholic.",0.00%,classical,99.98%,
bass_10,"a live performance of an orchestra and it consists of sustained strings melody, mellow woodwinds melody, suspenseful violin melody and muffled percussion. epic, powerful and passionate.
a wide brass melody, woodwinds melody and mellow piano melody. suspenseful and intense.",0.00%,classical,99.84%,0.0
drums_0,"instrumental. medium with a hip-hop beat with steady drumming, cymbals crashing, tambourine percussions, and a male voice chanting the same phrase. The audio quality is poor.
an electro song that consists of a low pitched male vocal talking, after which there is a punchy kick and snare hits, shimmering cymbals and groovy bass guitar. energetic and addictive.",0.70%,pop,40.86%,1.0
drums_1,"a hip hop song that consists of a low pitched female vocal talking over punchy kick and snare hits, low toms, shimmering hi hats, groovy bass and synth keys melody. chill and easygoing.
This song contains someone scratching over a hip hop beat with a lot of scratching. This is an amateur recording.",0.01%,hiphop,70.33%,1.0
