Iteration,Prompt,classical Confidence,Predicted Genre,Predicted Genre Confidence,Iterative Consistency Check
initial_prompt,"A classical music piece that embodies the elegance and complexity of the Baroque period. The composition should involve a full orchestra with a focus on string instruments like violins, violas, and cellos, complemented by harpsichords and woodwinds. Add intricate melodies and counterpoint techniques that highlight the skills of individual musicians.",99.85%,classical,99.85%,
bass_0,"a woodblock one shot. The recording is noisy and in mono.
a woodblock one shot. The recording is noisy and in mono.",74.11%,classical,74.11%,0.0
bass_1,"an upbeat instrumental. fast with an animated trombone melody with an enthusiastic piano accompaniment. vibrant, engaging, buzzing, incessant, untiring and droning like a bee.This music a Western Classical.
a live performance of a classical song and it consists of tuba melody. mellow, soft and reverberant, as it was recorded in a huge concert hall. The recording is a bit noisy.",91.35%,classical,91.35%,0.0
bass_2,"This song features a male voice singing the main melody. This is accompanied by a guitar playing arpeggiated chords. A piano plays chords in the background. The mood of this song is happy. There are no other instruments in this song. This song can be played in a romantic movie.
This song features a female voice singing the main melody. This is accompanied by a viola playing chords. A piano plays chords in the background. The mood of this song is romantic. There are no other instruments in this song. This song can be played in a romantic movie.",28.72%,blues,51.66%,0.0
bass_3,"a cover of a rock song and it consists of an arpeggiated acoustic guitar melody. The recording is noisy, in mono and emotional and passionate.
a live performance of a folk song that consists of an arpeggiated acoustic guitar melody. passionate, emotional and the recording is noisy and in mono.",4.20%,country,92.75%,0.0
bass_4,"instrumental. slow with a beautiful violin harmony. soft, pensive, melancholic, sentimental, heart-touching and soulful. a Western Classical.
someone playing a melody on a bagpipes in the mid- to higher register. This song may be playing during a live performance.",22.17%,pop,39.33%,0.0
bass_5,"a mellow arpeggiated piano melody and breathy flute melody. emotional and passionate.
a violin melody and arpeggiated acoustic guitar melody. emotional and passionate. The recording is a bit noisy.",99.96%,classical,99.96%,0.0
bass_6,"This song contains someone playing a melody on a horn with reverb on it. This song may be playing for a meditation session.
a sustained strings melody over which there is a mellow arpeggiated harp melody being played. spooky, haunting and emotional.",98.19%,classical,98.19%,0.0
bass_7,"an ambient song that consists of a mellow wide bells melody. calming, relaxing and hypnotic - like something you would listen to while meditating. The recording is noisy.
an ambient song that consists of a mellow wide bells melody. calming, relaxing and hypnotic - like something you would listen to while meditating. The recording is noisy.",98.36%,classical,98.36%,0.0
bass_8,"Someone is playing a melody along with chords in the mid range on an organ. This song may be playing in a church.
Someone is playing a melody along with chords in the mid range on an organ. This song may be playing in a church.",99.21%,classical,99.21%,0.0
bass_9,"The song is an instrumental. The song is medium tempo with an accordion playing in harmony and an acoustic guitar accompaniment. The recording is noisy and in mono.
instrumental. slow with a melancholic accordion harmony. soft, mellow, sentimental, nostalgic, pensive, melancholic and emotional. a Western Classical.",92.17%,classical,92.17%,0.0
bass_10,"a harmonica solo melody. emotional and passionate. The recording is noisy and in mono.
a classical song that consists of harmonica solo melody over sustained strings melody. emotional and passionate, even though the recording is noisy.",44.38%,classical,44.38%,0.0
drums_0,"a woodblock one shot. The recording is noisy and in mono.
a woodblock one shot. The recording is noisy and in mono.",85.78%,classical,85.78%,0.0
drums_1,"song that would be suitable as meditation music or background music for sleeping. It is calming and features sustained high pitched notes on a pad synth. The song feels ethereal and relaxing.
song that would be suitable as meditation music or background music for sleeping. It is calming and features sustained high pitched notes on a pad synth. The song feels ethereal and relaxing.",38.21%,pop,60.60%,0.0
drums_2,"an ambient song that consists of a wide mellow bells melody. calming and relaxing, like something you would listen to while meditating. The recording is noisy.
an ambient song that consists of a wide sustained strings melody. mellow, relaxing and calming - like something you would listen to while meditating. The recording is noisy.",97.83%,classical,97.83%,0.0
drums_3,"meditation music piece. It is an instrumental piece. Initially, there is a keyboard playing a mellow tune on a flute. The atmosphere is calming and relaxing. This piece could be playing in the background at a spa or a wellness center.
a mellow harp melody. passionate, emotional and the recording is noisy and in mono.",99.82%,classical,99.82%,0.0
drums_4,"This instrumental song features a harp playing the main melody. The melody is repetitive. This is accompanied by a piano playing chords in the background. There are no voices in this song. The mood of this song is relaxing. This song can be played in a meditation center.
someone playing a melody on a theremin. This song may be playing in an orchestra.",99.92%,classical,99.92%,0.0
drums_5,"a synth pad playing over mellow arpeggiated piano melody. soft, mellow and emotional.
an arpeggiated synth melody. mellow, soft, relaxing and easygoing.",97.29%,classical,97.29%,0.0
drums_6,"a cover of a rock song and it consists of a flat male vocal singing over sustained strings melody. passionate, emotional and the recording is noisy and in mono.
a cover of a rock song and it consists of flat male vocal singing over playback. The recording is noisy, in mono and slightly distorted.",2.63%,disco,97.11%,0.0
drums_7,"a cover of a rock song that consists of a distorted electric guitar melody playing over punchy kick and snare hits, shimmering cymbals and groovy bass guitar. There are some crowd cheering sounds in the background. aggressive and energetic.
a metal song that consists of a flat male vocal singing over punchy kick and snare hits, shimmering hi hats, wide electric guitar melody and groovy bass guitar. There are some crowd cheering sounds in the background. energetic, aggressive and exciting.",0.22%,metal,81.13%,1.0
