Iteration,Prompt,reggae Confidence,Predicted Genre,Predicted Genre Confidence,Iterative Consistency Check
initial_prompt,"A reggae track with a relaxed and upbeat rhythm characteristic of traditional reggae music. Use steady drum patterns, a bass guitar playing on the offbeat, and rhythmic guitar strumming. Include elements like the melodica or steel drums to give it an authentic island sound.",98.38%,reggae,98.38%,
bass_0,"a dynamic bass guitar playing. The recording is noisy.
a dynamic bass guitar playing. The recording is noisy.",0.00%,blues,91.75%,1.0
bass_1,"This is an amateur recording of a sound effect on a theremin. The audio quality is quite poor. This recording can be sampled for use in beat-making.
This is an ASMR clip which features a sound that is crackly and fuzzy. We also hear the ambient tone of a room - possibly an air conditioner in the background.",0.00%,classical,92.65%,0.0
bass_2,"a live performance of a classical song and it consists of mellow woodwind melody played over sustained strings. soulful, passionate and the recording is noisy and in mono.
a live performance of a classical song and it consists of tuba melody. emotional and passionate, even though the recording is noisy and in mono.",2.77%,classical,85.10%,0.0
bass_3,"The song is an instrumental. medium with a harpsichord being played with no other instrumentation. The song is emotional and passionate. The audio quality is poor.
someone playing a melody on a horn with reverb on it. This song may be playing in an orchestra.",0.17%,classical,99.16%,0.0
bass_4,"a breathy flute melody playing over playback that consists of snare roll and shimmering bells. The recording is noisy and in mono.
wedding march that belongs to Scottish folk music. It is an instrumental piece. The tune is being played by the French bagpipes at a medium-to-high pitch. The atmosphere is cheerful. This piece could be playing at a Scottish wedding.",0.00%,classical,99.81%,0.0
bass_5,"wedding march that belongs to Scottish folk music. It is an instrumental piece. The tune is being played by the French bagpipes at a medium-to-high pitch. The atmosphere is cheerful. This piece could be playing at a Scottish wedding. It could also be included in the soundtrack of a historical drama movie during wedding scenes.
a bagpipes melody playing while a dog is howling. emotional and passionate, even though the recording is noisy.",0.00%,classical,99.80%,0.0
bass_6,"two people playing accordion. One is playing the foundation as rhythmical chords while the other person is playing a melody in a higher pitch. This song may be playing at a live concert.
two people playing accordion. One is playing a melody in the lower register while the other person is playing the lead melody in a higher pitch. This song may be playing at a live concert.",0.00%,classical,98.83%,0.0
bass_7,"a live performance of a folk song and it consists of harmonica solo melody playing over breathy flute melody. The recording is noisy and in mono.
an arpeggiated acoustic guitar melody. The recording is noisy and in mono.",0.00%,blues,80.61%,0.0
bass_8,"Here we have a live recording of a meg whistle. The style of playing feels cheery and uplifting. This melody is reminiscent of medieval Irish folk songs or English folk songs.
Here we have a live recording of a meg whistle. The style of playing feels cheery and uplifting. This melody is reminiscent of medieval Irish folk songs or English folk songs.",0.00%,classical,98.62%,0.0
bass_9,"Here we have a live recording of a performance on the bagpipes. He plays a piece that feels emotional and uplifting. This piece could be playing in the background at a Scottish wedding. It could also be included in the soundtrack of a historical drama movie that takes place in Scotland.
Here we have a live recording of an artist playing on the bagpipes. He plays a piece that feels emotional and uplifting. This piece would be fitting on the battlefield to bring about conviction and courage. It is a Scottish instrument.",0.00%,blues,51.98%,0.0
bass_10,"wedding march that belongs to Scottish folk music. It is an instrumental piece. The tune is being played by the French bagpipes at a medium-to-high pitch. The atmosphere is cheerful. This piece could be playing at a Scottish wedding. It could also be included in the soundtrack of a historical drama movie during wedding scenes.
people playing a melody with bagpipes in a higher pitch. This song may be playing live during a traditional and formal event.",0.00%,classical,99.15%,0.0
drums_0,"a wooden percussion one shot. The recording is in mono, noisy and like a tutorial.
This song features percussion being played. There is no percussion in this song. The kick is played twice on the first count of each bar. The snare is played on the second and fourth counts of the first note can be heard. There are no other instruments in this clip.",2.61%,hiphop,70.01%,0.0
